"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Wie oft hören Sie Wissenschaftspodcasts?  Unter ""Wissenschaftspodcasts"" versteht man jegliche Podcasts, die wissenschaftliche Themen inhaltlich behandeln. Das können zum Beispiel Podcasts über Astrologie, Virologie oder auch Psychologie sein. ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin anerkannter Experte auf seinem / ihrem Gebiet ist?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin über einen packenden Gesprächsstil verfügt?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin leidenschaftlich seiner / ihrer Tätigkeit beim Podcast nachgeht?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin transparent darlegt, welchen Organisationen er / sie angehört und wer den Podcast und die Forschung unterstützt?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin persönliche Informationen über sich mit den Zuhörenden teilt?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig    ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin transparent darlegt, was seine / ihre persönlichen Absichten und Überzeugungen sind?         Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin neue, aktuelle Erkenntnisse diskutiert?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin wissenschaftliche Methoden ausführlich erklärt?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin die Qualität von präsentierten Studien diskutiert?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin die Quellen der besprochenen Studien angibt?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin verschiedene Sichtweisen in Betracht zieht?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin sagt, was man aufgrund der aktuellen Forschungslage noch nicht weiss, also was zur jetzigen Zeit ungewiss ist?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie sehr vertrauen Sie allgemein der Kommunikation von Podcastern und Podcasterinnen im Rahmen eines Wissenschaftspodcasts?        Bitte beachten Sie:   1 = überhaupt nicht   5 = extrem ","Bitte geben Sie Ihr Geschlecht an:","Wie alt sind Sie?","Was ist zur jetztigen Zeit Ihr höchster Schulabschluss?","Können wir Ihre Antworten für die Studie verwenden?  Falls Sie 'Nein' angekreuzt haben, haben Sie zusätzlich die Möglichkeit, den Grund zu nennen. ","Können wir Ihre Antworten für die Studie verwenden?  Falls Sie 'Nein' angekreuzt haben, haben Sie zusätzlich die Möglichkeit, den Grund zu nennen.  [Kommentar]"
"4","1980-01-01 00:00:00","2","de","1661653927","AO03","5","3","4","4","3","4","5","5","5","5","5","4","3","AO02","57","AO05","AO01",""
"5","1980-01-01 00:00:00","2","de","584345728","AO05","4","4","5","5","3","4","4","4","5","5","5","4","2","AO01","26","AO04","AO01",""
"6","1980-01-01 00:00:00","2","de","699409850","AO06","4","5","5","5","3","4","3","2","4","5","5","4","4","AO02","43","AO03","AO01","Schade, dass sie nur von Gesprächsformaten ausgehen. Ein richtig guter Wissenschafts-Podcast ist für mich auch gut gestaltet und kein reines Gespräch. Also in Reportage Form mit Geräuschen, Gesprächen vor Ort und einem Off-Text. Reine Gespräche überzeugen mich seltenst. Wenn dann muss die Gesprächsführung ein stimmiges und spannendes Storytelling haben und nicht unbedingt in einem nüchternen Studio oder gar über Skype (ect) aufgenommen worden sein."
"7","1980-01-01 00:00:00","2","de","172277562","AO05","1","4","5","5","2","2","4","2","3","3","5","4","4","AO01","39","AO04","AO01",""
"8","","0","de","422512295","","","","","","","","","","","","","","","","","","",""
"9","1980-01-01 00:00:00","2","de","312121221","AO05","3","5","5","4","2","2","5","1","3","5","5","4","3","AO02","26","AO05","AO01",""
"10","1980-01-01 00:00:00","2","de","1127911857","AO03","3","4","5","4","3","4","4","3","5","5","5","5","4","AO01","30","AO05","AO01",""
"11","1980-01-01 00:00:00","2","de","599565724","AO03","4","5","4","3","1","2","4","2","3","3","3","4","4","AO02","49","AO05","AO01",""
"12","","","de","471423022","","","","","","","","","","","","","","","","","","",""
"13","1980-01-01 00:00:00","2","de","1613918069","AO02","4","5","5","4","2","2","5","5","4","4","3","4","4","AO01","26","AO03","AO01",""
"14","1980-01-01 00:00:00","2","de","67741442","AO05","1","5","4","5","4","4","4","2","3","2","3","4","3","AO01","42","AO05","AO02","Die Umfrage geht von einem einseitigen Bild von Wissenschaftspodcasts aus / als ob es nur Gesprächspodcasts von Podcasterinnen und Podcastern gäbe. Dabei gibt es z.B. auch professionell gemachte Storytellingformate. "
"15","","","de","1372998483","","","","","","","","","","","","","","","","","","",""
"16","1980-01-01 00:00:00","2","de","1551458635","AO05","4","4","3","3","4","3","5","3","5","5","4","5","4","AO02","32","AO05","AO01",""
"17","","","de","870884858","","","","","","","","","","","","","","","","","","",""
"18","1980-01-01 00:00:00","2","de","247761265","AO07","4","5","5","5","2","4","5","3","4","5","5","5","3","AO02","32","AO04","AO01",""
"19","1980-01-01 00:00:00","2","de","287664255","AO03","3","4","5","2","2","5","5","4","5","5","5","2","2","AO02","20","AO03","AO01",""
"20","1980-01-01 00:00:00","2","de","601797819","AO07","5","4","4","4","3","3","4","4","5","5","5","3","3","AO02","19","AO03","AO01",""
"21","1980-01-01 00:00:00","2","de","2080314241","AO07","4","4","4","3","2","2","3","3","3","3","4","3","3","AO02","23","AO03","AO01",""
"22","1980-01-01 00:00:00","2","de","127411270","AO08","3","4","4","5","2","4","3","2","2","1","5","3","2","AO01","22","AO03","AO01",""
"23","1980-01-01 00:00:00","2","de","982627020","AO08","5","4","4","5","1","1","3","4","5","5","4","5","4","AO02","25","AO03","AO01",""
"24","1980-01-01 00:00:00","2","de","2044786859","AO04","2","3","4","5","2","4","4","2","4","5","5","5","3","AO01","50","AO06","AO01","Leider keine Fragen zu Audioqualität und Gestaltung! Für mich ist das auch wichtiger Punkt ob mir ein Podcast gefällt oder nicht. "
"25","1980-01-01 00:00:00","2","de","1280594465","AO04","4","4","3","2","1","2","5","3","4","5","5","5","2","AO02","22","AO03","AO01",""
"26","1980-01-01 00:00:00","2","de","988300442","AO06","3","5","5","3","2","3","4","5","4","5","5","5","4","AO02","22","AO03","AO01",""
"27","1980-01-01 00:00:00","2","de","1434105869","AO06","3","4","5","3","3","4","5","4","5","4","4","5","3","AO02","21","AO03","AO01",""
"28","1980-01-01 00:00:00","2","de","698104952","AO07","4","4","3","4","2","3","4","3","4","4","5","4","3","AO02","31","AO05","AO01",""
"29","1980-01-01 00:00:00","2","de","120012830","AO04","5","4","4","5","3","4","4","3","3","4","4","5","4","AO02","21","AO03","AO01",""
"30","1980-01-01 00:00:00","2","de","477239670","AO08","3","3","4","5","3","4","4","2","4","4","4","3","3","AO02","21","AO03","AO01",""
"31","1980-01-01 00:00:00","2","de","1858365058","AO06","4","4","3","2","2","3","3","5","3","4","5","4","3","AO02","22","AO03","AO01",""
"32","1980-01-01 00:00:00","2","de","1929636605","AO08","4","3","4","5","2","3","4","4","4","4","5","2","4","AO02","21","AO03","AO01",""
"33","1980-01-01 00:00:00","2","de","432325623","AO05","5","4","4","3","3","4","4","3","3","3","3","3","3","AO02","23","AO03","AO01",""
"34","1980-01-01 00:00:00","2","de","324167276","AO03","5","4","5","5","5","5","5","5","5","4","4","5","5","AO02","25","AO04","AO01",""
"35","1980-01-01 00:00:00","2","de","1312047677","AO06","2","5","5","4","4","3","4","3","4","2","5","4","3","AO02","20","AO03","AO01",""
"36","1980-01-01 00:00:00","2","de","111933845","AO08","5","5","5","4","3","4","5","4","4","4","5","5","3","AO01","21","AO03","AO01",""
"37","1980-01-01 00:00:00","2","de","842601089","AO08","4","4","5","3","4","3","4","4","5","4","5","5","2","AO02","23","AO03","AO01",""
"38","1980-01-01 00:00:00","2","de","813333668","AO05","4","4","4","5","2","3","3","3","4","5","5","4","4","AO02","19","AO03","AO01",""
"39","1980-01-01 00:00:00","2","de","180014231","AO06","5","4","5","5","3","4","5","4","5","5","5","5","3","AO02","24","AO03","AO01",""
"40","1980-01-01 00:00:00","2","de","10856872","AO07","5","5","4","5","3","3","4","4","4","4","3","4","3","AO02","30","AO05","AO01",""
"41","1980-01-01 00:00:00","2","de","1175904025","AO04","4","4","4","5","3","5","5","4","5","5","5","5","3","AO01","26","AO03","AO01",""
"42","1980-01-01 00:00:00","2","de","368078374","AO04","5","5","5","3","4","4","5","5","5","5","5","5","4","AO02","22","AO03","AO01",""
"43","1980-01-01 00:00:00","2","de","12132035","AO06","4","5","4","2","1","4","4","4","3","2","4","4","4","AO01","23","AO03","AO01",""
"44","","","de","423954077","","","","","","","","","","","","","","","","","","",""
"45","1980-01-01 00:00:00","2","de","1135653638","AO04","4","3","4","3","2","2","3","3","4","3","3","4","4","AO01","22","AO03","AO01",""
"46","1980-01-01 00:00:00","2","de","1798070532","AO04","3","5","4","3","2","4","4","4","3","4","5","2","3","AO02","19","AO03","AO01",""
"47","1980-01-01 00:00:00","2","de","1182745827","AO04","3","5","5","3","4","2","4","3","4","3","5","4","3","AO02","20","AO03","AO01",""
"48","1980-01-01 00:00:00","2","de","1633271908","AO05","5","4","4","3","1","2","4","4","4","4","5","3","4","AO02","21","AO03","AO01",""
"49","","","de","1553036053","","","","","","","","","","","","","","","","","","",""
"50","1980-01-01 00:00:00","2","de","30299345","AO06","4","5","5","5","2","4","5","5","4","5","5","5","5","AO02","20","AO03","AO01",""
"51","","","de","2098398075","","","","","","","","","","","","","","","","","","",""
"52","1980-01-01 00:00:00","2","de","1038884108","AO08","3","4","4","5","2","3","4","4","5","5","4","4","3","AO02","19","AO03","AO01",""
"53","1980-01-01 00:00:00","2","de","2026103107","AO06","5","4","5","5","2","2","4","4","5","5","5","5","5","AO02","23","AO03","AO01",""
"54","1980-01-01 00:00:00","2","de","1287568797","AO08","2","5","4","5","1","4","3","2","4","4","4","4","3","AO03","22","AO03","AO01",""
"55","1980-01-01 00:00:00","2","de","1752192033","AO05","4","5","5","3","5","4","4","4","4","3","4","5","3","AO02","21","AO03","AO01",""
"56","1980-01-01 00:00:00","2","de","1150088020","AO04","3","5","4","3","2","4","3","2","3","2","4","3","4","AO02","20","AO03","AO01",""
"57","1980-01-01 00:00:00","2","de","785508601","AO08","5","5","5","4","4","5","5","5","4","4","4","5","5","AO01","22","AO03","AO01",""
"58","1980-01-01 00:00:00","2","de","2051883262","AO08","5","4","4","3","1","2","4","3","3","3","5","4","4","AO02","20","AO03","AO01",""
"59","1980-01-01 00:00:00","2","de","1510421910","AO08","4","4","4","3","2","3","5","3","3","3","4","4","3","AO02","21","AO03","AO01",""
"60","1980-01-01 00:00:00","2","de","630289079","AO08","3","3","4","4","4","4","4","4","3","4","3","3","4","AO02","21","AO03","AO01",""
"61","1980-01-01 00:00:00","2","de","257939697","AO07","4","5","5","2","3","4","4","3","3","3","5","4","3","AO01","23","AO03","AO01",""
"62","1980-01-01 00:00:00","2","de","2053910914","AO07","4","5","5","2","3","3","4","4","3","3","4","5","3","AO02","21","AO03","AO01",""
"63","1980-01-01 00:00:00","2","de","893446735","AO04","3","4","4","5","2","3","4","2","3","2","4","3","4","AO01","22","AO03","AO01",""
"64","1980-01-01 00:00:00","2","de","806154285","AO03","4","5","4","4","2","3","5","4","3","3","4","3","4","AO02","21","AO03","AO01",""
"65","1980-01-01 00:00:00","2","de","1993667249","AO07","4","4","2","1","2","2","1","1","1","3","3","2","2","AO02","20","AO03","AO01",""
"66","1980-01-01 00:00:00","2","de","788114792","AO08","4","4","3","4","3","3","3","2","3","5","5","4","3","AO02","22","AO03","AO01",""
"67","1980-01-01 00:00:00","2","de","615736402","AO07","5","2","5","3","2","3","4","3","4","4","3","4","4","AO01","21","AO03","AO01",""
"68","1980-01-01 00:00:00","2","de","1176022340","AO08","3","5","5","5","3","2","4","2","5","5","4","4","2","AO03","20","AO03","AO01",""
"69","1980-01-01 00:00:00","2","de","73114139","AO07","3","5","4","3","2","4","5","4","4","5","5","5","3","AO02","20","AO03","AO01",""
"70","1980-01-01 00:00:00","2","de","33121156","AO04","5","5","4","3","3","3","2","2","2","2","5","5","4","AO02","22","AO03","AO01",""
"71","1980-01-01 00:00:00","2","de","894753500","AO06","4","4","5","4","3","4","4","5","5","3","5","5","3","AO02","21","AO03","AO01",""
"72","1980-01-01 00:00:00","2","de","1551436303","AO04","3","5","3","4","2","3","4","5","4","5","5","3","4","AO02","21","AO03","AO01",""
"73","1980-01-01 00:00:00","2","de","1107727327","AO05","2","4","4","4","3","4","3","2","4","3","5","3","4","AO02","23","AO03","AO01",""
"74","1980-01-01 00:00:00","2","de","938592749","AO07","5","2","3","5","2","4","5","5","4","5","5","5","3","AO02","22","AO03","AO01",""
"75","1980-01-01 00:00:00","2","de","1432445570","AO08","4","4","3","5","4","5","4","4","4","5","5","4","4","AO02","19","AO03","AO01",""
"76","1980-01-01 00:00:00","2","de","1498794226","AO05","4","5","3","2","1","2","3","2","1","1","5","4","4","AO01","21","AO03","AO01",""
"77","1980-01-01 00:00:00","2","de","1758509202","AO06","3","4","4","3","4","4","4","2","2","2","4","3","4","AO02","20","AO03","AO01",""
"78","1980-01-01 00:00:00","2","de","744205284","AO06","4","5","4","5","2","4","5","4","3","5","4","4","4","AO02","20","AO03","AO01",""
"79","","","de","1363062459","","","","","","","","","","","","","","","","","","",""
"80","1980-01-01 00:00:00","2","de","537208300","AO05","4","5","5","4","3","4","5","5","5","2","5","4","3","AO01","21","AO03","AO01",""
"81","1980-01-01 00:00:00","2","de","1301791245","AO08","4","5","5","4","3","4","4","5","4","4","4","3","4","AO02","22","AO03","AO01",""
"82","1980-01-01 00:00:00","2","de","1527489350","AO07","4","4","4","4","2","3","4","4","5","5","4","3","3","AO02","25","AO06","AO01",""
"83","1980-01-01 00:00:00","2","de","251954189","AO06","5","3","5","5","2","2","4","5","5","5","4","5","4","AO01","41","AO04","AO01",""
"84","1980-01-01 00:00:00","2","de","253375383","AO07","5","4","4","4","3","4","4","3","3","4","5","5","4","AO02","20","AO03","AO01",""
"85","1980-01-01 00:00:00","2","de","986992590","AO03","4","4","5","4","1","2","5","5","5","5","5","4","3","AO02","21","AO06","AO01",""
"86","1980-01-01 00:00:00","2","de","113647638","AO07","2","4","4","3","4","4","5","4","3","2","4","5","4","AO02","21","AO03","AO01",""
"87","1980-01-01 00:00:00","2","de","674200394","AO07","2","4","4","3","3","4","4","3","3","3","4","5","3","AO02","31","AO03","AO01",""
"88","","","de","875630090","","","","","","","","","","","","","","","","","","",""
"89","","","de","85143189","","","","","","","","","","","","","","","","","","",""
"90","1980-01-01 00:00:00","2","de","2002895248","AO04","3","4","5","3","2","3","5","1","3","3","5","5","4","AO02","19","AO03","AO01",""
"91","1980-01-01 00:00:00","2","de","1154461932","AO06","4","3","4","5","1","5","4","2","3","3","4","3","3","AO02","21","AO03","AO01",""
"92","1980-01-01 00:00:00","2","de","1161113868","AO07","4","5","3","2","2","4","5","1","3","4","3","4","3","AO02","21","AO03","AO01",""
"93","1980-01-01 00:00:00","2","de","1348348851","AO06","1","4","4","4","4","4","5","2","3","3","4","4","4","AO02","20","AO03","AO01",""
"94","1980-01-01 00:00:00","2","de","1102535793","AO06","1","5","5","5","3","4","4","4","4","5","5","4","3","AO01","22","AO03","AO01",""
"95","1980-01-01 00:00:00","2","de","301703683","AO05","4","5","5","4","1","4","5","4","5","5","5","5","3","AO01","20","AO03","AO01",""
"96","1980-01-01 00:00:00","2","de","287270617","AO07","4","4","3","4","1","2","5","5","4","4","5","4","3","AO02","22","AO03","AO01",""
"97","1980-01-01 00:00:00","2","de","1514380950","AO05","4","5","5","2","5","3","3","2","3","1","5","3","2","AO02","21","AO03","AO01",""
"98","1980-01-01 00:00:00","2","de","1159221510","AO08","4","4","5","5","3","4","4","5","4","4","5","2","3","AO02","20","AO03","AO01",""
"99","1980-01-01 00:00:00","2","de","636273609","AO03","5","5","4","5","3","4","4","5","5","4","5","5","4","AO02","21","AO03","AO01",""
"100","1980-01-01 00:00:00","2","de","717884972","AO06","2","5","4","3","1","3","4","4","5","3","4","4","3","AO02","22","AO03","AO01",""
"101","1980-01-01 00:00:00","2","de","1060787875","AO02","4","4","3","5","4","5","4","3","4","5","4","4","3","AO01","25","AO03","AO01","aber nicht an dritte weiter leiten "
"102","1980-01-01 00:00:00","2","de","1183431361","AO08","5","4","3","5","1","4","5","2","5","2","4","5","4","AO02","20","AO03","AO01",""
"103","1980-01-01 00:00:00","2","de","140860481","AO08","4","5","4","3","2","2","5","4","5","5","5","3","3","AO01","20","AO03","AO01",""
"104","1980-01-01 00:00:00","2","de","425347117","AO07","4","5","4","2","3","2","3","3","3","1","3","3","4","AO02","21","AO03","AO01",""
"105","1980-01-01 00:00:00","2","de","1087620707","AO07","4","5","4","3","1","1","4","3","3","4","5","4","3","AO02","19","AO03","AO01",""
"106","1980-01-01 00:00:00","2","de","230920351","AO07","4","5","4","2","2","4","5","5","4","4","4","4","4","AO02","19","AO03","AO01",""
"107","","","de","1108799151","","","","","","","","","","","","","","","","","","",""
"108","1980-01-01 00:00:00","2","de","2096700818","AO07","3","5","4","4","5","4","5","3","5","3","5","4","2","AO02","21","AO03","AO01",""
"109","1980-01-01 00:00:00","2","de","447025040","AO07","3","5","5","2","4","1","4","3","2","1","5","4","4","AO02","20","AO03","AO01",""
"110","1980-01-01 00:00:00","2","de","11305582","AO08","4","5","5","5","4","4","3","3","2","2","4","3","3","AO02","22","AO03","AO01",""
"111","1980-01-01 00:00:00","2","de","318345740","AO03","5","4","5","5","2","3","5","4","5","5","3","3","3","AO02","21","AO03","AO01",""
"112","1980-01-01 00:00:00","2","de","1810524617","AO03","5","4","5","4","2","4","4","4","5","5","3","3","3","AO02","21","AO03","AO01",""
"113","1980-01-01 00:00:00","2","de","712449322","AO07","4","4","4","5","2","3","2","5","2","3","3","4","4","AO02","21","AO03","AO01",""
"114","1980-01-01 00:00:00","2","de","688014976","AO06","4","3","4","2","2","4","3","2","3","2","4","4","3","AO02","20","AO03","AO01",""
"115","1980-01-01 00:00:00","2","de","1434159938","AO06","3","5","5","4","2","3","4","5","4","5","5","4","4","AO02","21","AO03","AO01",""
"116","1980-01-01 00:00:00","2","de","1415448245","AO08","4","5","5","5","3","3","3","3","3","1","4","3","3","AO02","22","AO03","AO01",""
"117","1980-01-01 00:00:00","2","de","1918695808","AO06","3","4","5","3","2","2","5","4","5","4","5","3","3","AO01","22","AO03","AO01",""
"118","1980-01-01 00:00:00","2","de","1412407014","AO06","4","4","4","2","2","2","4","4","4","3","5","4","3","AO02","24","AO03","AO01","Ich finde es wichtig bei wissenschaftlichen Podcasts eine, sofern möglich, neutrale, informative Sicht und Information zu erhalten. Dabei sollte auch gesagt werden, wenn Studien gebraucht werden / wurden, wie verlässlich sind diese. Ansonsten möchte ich schlussendlich etwas gelernt haben und das Gefühl haben, ein Thema besser zu verstehen. Dabei spielt sicherlich die Art und Weise und Motivation wie der Podcaster dies präsentiert eine Rolle"
"119","1980-01-01 00:00:00","2","de","757602755","AO06","4","5","3","2","2","4","4","3","3","2","4","5","3","AO02","19","AO03","AO01",""
"120","1980-01-01 00:00:00","2","de","1110813297","AO06","4","5","3","2","3","4","4","3","2","2","4","5","3","AO02","19","AO03","AO01",""
"121","1980-01-01 00:00:00","2","de","310125077","AO08","3","5","5","5","1","4","3","3","2","3","5","5","3","AO02","20","AO03","AO01",""
"122","1980-01-01 00:00:00","2","de","55743439","AO05","3","5","5","4","4","5","5","5","5","3","5","4","4","AO02","21","AO03","AO01",""
"123","1980-01-01 00:00:00","2","de","1831435100","AO04","3","5","5","5","3","4","4","2","4","3","4","5","3","AO02","20","AO03","AO01",""
"124","1980-01-01 00:00:00","2","de","1087879273","AO04","3","5","5","4","3","4","4","2","3","3","4","4","3","AO02","20","AO03","AO01",""
"125","1980-01-01 00:00:00","2","de","2118171081","AO04","4","5","4","4","4","3","4","3","3","3","5","4","3","AO02","29","AO04","AO01",""
"126","1980-01-01 00:00:00","2","de","2075582243","AO06","4","5","5","3","2","3","4","4","5","5","3","5","4","AO01","23","AO03","AO01",""
"127","1980-01-01 00:00:00","2","de","1016514311","AO08","3","5","4","4","3","5","4","4","3","5","5","5","3","AO02","19","AO03","AO01",""
"128","1980-01-01 00:00:00","2","de","1788179711","AO05","5","4","5","5","3","3","5","4","5","5","5","4","3","AO02","26","AO05","AO01",""
"129","1980-01-01 00:00:00","2","de","324783500","AO03","5","3","4","4","2","3","5","4","4","4","4","4","3","AO02","20","AO03","AO01",""
"130","1980-01-01 00:00:00","2","de","1776670741","AO07","4","5","4","3","1","3","5","4","4","3","4","4","3","AO02","22","AO03","AO01",""
"131","1980-01-01 00:00:00","2","de","1727760498","AO07","2","4","3","2","4","5","4","2","3","4","4","3","3","AO02","21","AO03","AO01",""
"132","1980-01-01 00:00:00","2","de","404610698","AO06","4","3","5","5","3","5","4","4","4","4","3","4","3","AO01","21","AO03","AO01",""
"133","1980-01-01 00:00:00","2","de","362502200","AO08","5","4","4","5","1","3","4","3","5","5","2","3","3","AO02","20","AO03","AO01",""
"134","1980-01-01 00:00:00","2","de","1472208671","AO08","4","4","4","3","2","3","4","2","4","1","3","5","3","AO01","27","AO05","AO01",""
"135","1980-01-01 00:00:00","2","de","1979176763","AO08","4","5","4","5","4","5","5","3","3","4","5","5","3","AO02","19","AO03","AO01",""
"136","1980-01-01 00:00:00","2","de","1231825014","AO06","3","5","5","4","3","4","5","5","4","3","5","5","4","AO02","21","AO03","AO01",""
"137","1980-01-01 00:00:00","2","de","1554926205","AO04","5","4","3","4","1","3","5","3","4","5","5","5","3","AO02","24","AO04","AO01",""
"138","1980-01-01 00:00:00","2","de","1255244142","AO06","5","4","5","3","2","5","3","3","2","2","5","5","3","AO01","21","AO03","AO01",""
"139","1980-01-01 00:00:00","2","de","992524154","AO05","4","5","4","4","2","4","5","4","5","4","3","4","4","AO02","20","AO03","AO01",""
"140","1980-01-01 00:00:00","2","de","448042253","AO07","4","5","5","4","3","5","4","4","5","5","4","2","4","AO01","21","AO03","AO01",""
"141","1980-01-01 00:00:00","2","de","1042165668","AO07","4","5","4","3","2","2","3","3","3","2","4","4","4","AO02","21","AO03","AO01",""
"142","1980-01-01 00:00:00","2","de","1400712109","AO07","4","4","5","3","4","3","4","2","4","4","5","4","4","AO01","22","AO03","AO01",""
"143","1980-01-01 00:00:00","2","de","1919388609","AO05","4","3","5","4","2","4","3","3","4","5","4","4","3","AO02","19","AO03","AO01",""
"144","1980-01-01 00:00:00","2","de","1905026093","AO07","4","4","3","4","3","5","4","4","5","4","4","4","4","AO02","21","AO03","AO01",""
"145","1980-01-01 00:00:00","2","de","1394631515","AO06","4","4","5","5","3","3","4","3","5","5","4","5","4","AO01","21","AO03","AO01",""
"146","1980-01-01 00:00:00","2","de","1243791870","AO06","4","4","5","5","1","2","4","1","3","3","5","3","3","AO02","22","AO03","AO01",""
"147","1980-01-01 00:00:00","2","de","915756217","AO05","1","4","5","3","4","4","3","4","4","3","5","3","4","AO02","21","AO03","AO01",""
"148","1980-01-01 00:00:00","2","de","327733898","AO07","5","5","5","5","5","5","5","5","5","5","5","5","5","AO02","23","AO03","AO01",""
"149","1980-01-01 00:00:00","2","de","1668235615","AO06","5","5","5","4","3","4","5","4","2","3","4","4","4","AO02","21","AO03","AO01",""
"150","1980-01-01 00:00:00","2","de","1589832972","AO07","5","4","5","3","2","2","5","4","3","4","5","4","3","AO02","18","AO03","AO01",""
"151","1980-01-01 00:00:00","2","de","342083924","AO05","4","5","5","4","3","4","4","3","4","5","5","4","5","AO02","19","AO03","AO01",""
"152","1980-01-01 00:00:00","2","de","1874839708","AO07","3","3","5","4","1","3","4","4","4","5","5","5","3","AO01","21","AO03","AO01",""
"153","1980-01-01 00:00:00","2","de","788769164","AO05","3","2","3","4","1","4","4","2","1","3","2","1","1","AO02","27","AO05","AO01",""
"154","1980-01-01 00:00:00","2","de","788221650","AO08","4","5","5","3","2","3","4","5","5","2","4","4","3","AO01","20","AO03","AO01",""
"155","1980-01-01 00:00:00","2","de","1706699963","AO06","3","5","4","3","3","4","3","4","4","2","4","3","4","AO02","20","AO03","AO01",""

